,name,preimage,ref,price,Бренд,Тип,Объем памяти,Тип шины,Цвет товара,"Частота графического процессора, МГц",Тип памяти
10,"Вертикальный винтовой кронштейн FinalCool регулируемая подставка держатель для видеокарты NVIDIA RTX GTX, AMD Radeon RX, ASUS, GIGABYTE и др, mini от 5,2 до 8,5 см, черный",https://ir.ozone.ru/s3/multimedia-v/wc500/6888967159.jpg,https://www.ozon.ru/product/vertikalnyy-vintovoy-kronshteyn-finalcool-reguliruemaya-podstavka-derzhatel-dlya-videokarty-nvidia-715503195/?asb=pwa%252BDI4AQERiDkI%252BfeSmQZ%252BJ%252FzisY7WzkLPAUjS1Pn0%253D&asb2=olsR_XWnlC968n0ga80Ue3MWN6cSh_WNl0fH1AZmvaVN-Rid82MNkJGAP_Kb3g98GaH-0EdjAkfaDxreWU5zKg&avtc=1&avte=2&avts=1707688387&keywords=3070,461,,Держатель для видеокарты,,,черный,,
11,"Gigabyte Видеокарта GeForce RTX 3070 Ti 8 ГБ (GV-N307TVISION OC-8GD), LHR",https://ir.ozone.ru/s3/multimedia-b/wc500/6072786323.jpg,https://www.ozon.ru/product/gigabyte-videokarta-geforce-rtx-3070-ti-8-gb-gv-n307tvision-oc-8gd-lhr-1406611779/?asb=BKb1esBA2c%252BSuaJQk0xPXzxKOlaEo3c08h2%252FTmeT1sU%253D&asb2=ow5ksVWsMCcTfuV9w1gHZH9wQ_Rn4KV2GrvI_8JVWc4uZPZi4OSVNBO_UB_4dYYXwI5IBAa1WlhfiRsNoStjXQ&avtc=1&avte=1&avts=1707688387&keywords=3070,44832,,Видеокарта,8 ГБ,PCI Express 4.0,,1575,GDDR6X
12,"Вертикальный держатель для видеокарты Coolmoon с ARGB подсветкой, черный",https://ir.ozone.ru/s3/video-27/01HBEPBM2V40QXSE05EF8NGB1H/cover/wc500/cover.jpg,https://www.ozon.ru/product/vertikalnyy-derzhatel-dlya-videokarty-coolmoon-s-argb-podsvetkoy-chernyy-595852082/?asb=skmAjxAXA6hZXP9P24tHO8fAVFrDUgeyguGPr0cQcOw%253D&asb2=Bp_u5OHABCYvN_jp6jd_4fqz8XqpeSgN7CwmfK45Iaqq0bXeAIV9Bw_4rfkshBFpVPqRSTnvF9LMAzawG3Wh5g&avtc=1&avte=2&avts=1707688387&keywords=3070,1079,COOLMOON,Держатель для видеокарты,,,черный,,
13,"Вертикальный держатель для видеокарты Coolmoon с ARGB подсветкой, белый",https://ir.ozone.ru/s3/video-26/01HBEPB156S1TTKBSWKCQR0ZBT/cover/wc500/cover.jpg,https://www.ozon.ru/product/vertikalnyy-derzhatel-dlya-videokarty-coolmoon-s-argb-podsvetkoy-belyy-595854348/?asb=1KAUVyCVwxO4xp1HwmS9h571kp3gA8yavTYPuzO1gt4%253D&asb2=jGP_gti9zVmIZtNTvL3i17xHDZc1AxVThsIo2mnx9qJafR-Ab-FzgfyPhq5FUM8Z7IUbGeiLxdJ39dwbWinKyg&avtc=1&avte=2&avts=1707688387&keywords=3070,1078,COOLMOON,Держатель для видеокарты,,,белый,,
14,"Видеокарта GeForce RTX 3070 8 ГБ ( GV-N3070AORUS M-8GD 2.0), LHR",https://ir.ozone.ru/s3/multimedia-v/wc500/6166728883.jpg,https://www.ozon.ru/product/videokarta-geforce-rtx-3070-8-gb-gv-n3070aorus-m-8gd-2-0-lhr-1295678983/?asb=BaQ6%252FMlma6StagjaWpbXsv34AH9VenyRbwev3N2iDI8%253D&asb2=77e9Crm1rfbJBAQISLc6kaL0-vQf8bYPKYseSN9F86-m0Eua7kUaLMSSxR2Dch7zJu4L6LwV7LhRVp3NyywaLQ&avtc=1&avte=1&avts=1707688387&keywords=3070,100269,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
15,PELADN Видеокарта GeForce RTX 3070 8 ГБ (NVIDIA),https://ir.ozone.ru/s3/multimedia-l/wc500/6820383945.jpg,https://www.ozon.ru/product/peladn-videokarta-geforce-rtx-3070-8-gb-nvidia-1269178124/?asb=acR87hVBjbhDStTszfEKhBs7QTUCK64RnG9xlQiVnY4%253D&asb2=RkXj_u5KiO3jSNioMFwQpizDCfx6LjLofQ0-7Om8lJp0L4quPs4ICG7oWReX6YckkFdIMIukbxAk8CWD-tsnIA&avtc=1&avte=2&avts=1707688387&keywords=3070,31975,,Видеокарта,8 ГБ,PCI 3.0,,1750,GDDR6X
16,EVGA Видеокарта (1234),https://ir.ozone.ru/s3/multimedia-3/wc500/6896988939.jpg,https://www.ozon.ru/product/evga-videokarta-1234-1393137789/?asb=Rz3X5eC8vgA8kP%252BE68dwjGO07Y5UQKhTIiIRmIZCnOI%253D&asb2=E7-c6KHVOL5X30okUyqScLVDDPbsqLntMlH66pdIhx8fQZteJColsDsVVU1Oq4q9CEUWrEni9EKaGUkPa_bQiQ&avtc=1&avte=1&avts=1707688387&keywords=3070,38813,EVGA,Видеокарта,,,,,
17,Gigabyte Видеокарта (GV-N3070GAMING OC-8GD),https://ir.ozone.ru/s3/multimedia-u/wc500/6313315554.jpg,https://www.ozon.ru/product/gigabyte-videokarta-gv-n3070gaming-oc-8gd-1320368390/?asb=PsWH8xzHMuwMVEnd4h01k%252F7A2p2lFBdWCZ8xsVa3Ogs%253D&asb2=c_xpvKGcQikJQfJJ4ADb4wEkn8-77e7mMPrJ3TEaDcZw4NZY5IGxvRQ7BLVnQsBDqY5NA527pkP5IYsg6sdr_Q&avtc=1&avte=2&avts=1707688387&keywords=3070,48135,Gigabyte,Видеокарта,,,,,
18,ASUS Видеокарта GeForce RTX 3070 8 ГБ (ATS-RTX3070-O8G-GAMING),https://ir.ozone.ru/s3/multimedia-1-n/wc500/6914650559.jpg,https://www.ozon.ru/product/asus-videokarta-geforce-rtx-3070-8-gb-ats-rtx3070-o8g-gaming-1413955510/?asb=9cr6wewSF22%252BCN2cXlz7AeaeVQ0vis9Pb9g8LF4PwaY%253D&asb2=g4LrXq1Npj-mXpc0wtk8xeCTEQtfteYLmjeyRWimhAaIljphfuKROzjkVD9qKJjtENPr7qRcdA6pvYdQCvkmXg&avtc=1&avte=2&avts=1707688387&keywords=3070,32642,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
19,"Gigabyte Видеокарта GeForce RTX 3070 Ti 8 ГБ (GeForce RTX 3070 Ti VISION OC 8G), LHR",https://ir.ozone.ru/s3/multimedia-g/wc500/6303144388.jpg,https://www.ozon.ru/product/gigabyte-videokarta-geforce-rtx-3070-ti-8-gb-geforce-rtx-3070-ti-vision-oc-8g-lhr-1406611748/?asb=tq65Qeh4ftfVs4XCpDmATbaLP%252FXxFclGpE2iO6%252BmY4A%253D&asb2=B0L-k-U3Nl9b3xzeF6C-GOwyXAW3Qf0H7LPLhO3-cEDTeC6bMFyI5QKOjtvFGhtJfplw85rPzpYcJPpgIP0j-w&avtc=1&avte=1&avts=1707688387&keywords=3070,45387,,Видеокарта,8 ГБ,PCI Express 4.0,,1830,GDDR6X
